director_id,title,director,category,type,duration
d5680,Sparkle,Sam O'Steen,"Dramas, Music & Musicals",Movie,98 min
d5681,Desolation,Sam Patton,"Horror Movies, Thrillers",Movie,76 min
d5682,The Evil Dead,Sam Raimi,"Classic Movies, Cult Movies, Horror Movies",Movie,85 min
d5683,Spider-Man 3,Sam Raimi,"Action & Adventure, Sci-Fi & Fantasy",Movie,139 min
d5684,Spelling the Dream,Sam Rega,"Children & Family Movies, Documentaries",Movie,83 min
d5685,Secrets of Henry VIII's Palace: Hampton Court,Sam Taplin,"Documentaries, International Movies",Movie,54 min
d5686,Secrets of Selfridges,Sam Taplin,Documentaries,Movie,55 min
d5687,Nowhere Boy,Sam Taylor-Johnson,Dramas,Movie,99 min
d5688,12 ROUND GUN,Sam Upton,"Dramas, Independent Movies, Sports Movies",Movie,90 min
d5689,King of Peking,Sam Voutas,"Comedies, Dramas, International Movies",Movie,88 min
d5690,Ben Platt Live from Radio City Music Hall,Sam Wrench,Music & Musicals,Movie,85 min
d5691,Jimmy Carr: Funny Business,Sam Wrench,Stand-Up Comedy,Movie,62 min
d5692,Shaurya: It Takes Courage to Make Right... Right,Samar Khan,"Dramas, International Movies",Movie,135 min
d5693,Bobby Jasoos,Samar Shaikh,"Comedies, Dramas, International Movies",Movie,116 min
d5694,Poshter Girl,Sameer Patil,"Comedies, Dramas, International Movies",Movie,138 min
d5695,Luv Shuv Tey Chicken Khurana,Sameer Sharma,"Comedies, International Movies, Romantic Movies",Movie,129 min
d5696,Mala Kahich Problem Nahi,Sameer Vidwans,"Dramas, International Movies",Movie,132 min
d5697,Time Please,Sameer Vidwans,"Comedies, Dramas, International Movies",Movie,125 min
d5698,The Ant's Scream,Sameh Abdulaziz,"Comedies, Dramas, International Movies",Movie,108 min
d5699,Freezer's Campaign,Sameh Abdulaziz,"Comedies, International Movies",Movie,116 min
d5700,Roh's Beauty,Sameh Abdulaziz,"Dramas, International Movies",Movie,98 min
d5701,Tattah,Sameh Abdulaziz,"Comedies, International Movies",Movie,112 min
d5702,Good and Prosperous,Sameh Abdulaziz,"Comedies, International Movies",Movie,101 min
d5703,My Horrible Grandma,Sameh Abdulaziz,"Comedies, Dramas, International Movies",Movie,100 min
d5704,No Longer kids,Samir Al Asfory,"Comedies, Dramas, International Movies",Movie,237 min
d5705,Kyun! Ho Gaya Na,Samir Karnik,"International Movies, Romantic Movies",Movie,165 min
d5706,My Birthday Song,Samir Soni,"Dramas, International Movies, Thrillers",Movie,92 min
d5707,House Arrest,Samit Basu,"Comedies, Independent Movies, International Movies",Movie,105 min
